manga,stem,method,iou,precision,recall,f1,tp,fp,fn,inference_time_seconds
Count3DeKimeteAgeru,003,standin,0.0063872024644613295,0.00648175007251958,0.30453035904505293,0.012693330059881961,9720,1489875,22198,0.0
Count3DeKimeteAgeru,004,standin,0.003395166087358966,0.003420684314215238,0.31277027027027027,0.006767355877541413,4629,1348609,10171,0.0
Count3DeKimeteAgeru,005,standin,0.0037435145536167994,0.003771092162544962,0.3385831381733021,0.007459105835979641,5783,1527725,11297,0.0
Count3DeKimeteAgeru,006,standin,0.005401509492091542,0.005458274195701846,0.3418403740984386,0.010744979873404555,8626,1571727,16608,0.0
Count3DeKimeteAgeru,007,standin,0.00523583200533575,0.005292785547935512,0.3273125124328625,0.010417121711411416,8227,1546153,16908,0.0
Count3DeKimeteAgeru,008,standin,0.002574364753413084,0.0025923904444996528,0.27019867549668874,0.0051355088338933515,4080,1569757,11020,0.0
Count3DeKimeteAgeru,009,standin,0.0009676366277616676,0.0009706045479755962,0.24038019316265521,0.0019334024245211655,1568,1613920,4955,0.0
DollGun,000,standin,0.019303452548047894,0.020803550427535813,0.21117155499639004,0.03787577192992578,29541,1390457,110350,0.0
DollGun,001,standin,0.03424888929152464,0.03777317982460705,0.26851283265390674,0.06622949204226002,36293,924521,98870,0.0
DollGun,002,standin,0.002374804302299575,0.0024034867019415837,0.16597195907540735,0.00473835593653524,1752,727189,8804,0.0
DollGun,003,standin,0.007154482960678697,0.007339457165493056,0.22110951158957667,0.014207319893264125,10598,1433378,37333,0.0
DollGun,004,standin,0.0076345430952156285,0.00779869948756091,0.2661627120225846,0.015153396928541398,11408,1451400,31453,0.0
DollGun,005,standin,0.001080182055839515,0.0010844117497174684,0.21687649880095924,0.002158033043109954,1447,1332917,5225,0.0
DollGun,006,standin,0.0034706464167451965,0.0035095607249942006,0.23838934007683704,0.00691728538176656,4902,1391854,15661,0.0
DollGun,007,standin,0.010180282714376793,0.010483990931100988,0.26003912275958585,0.020155377982674832,16351,1543265,46528,0.0
DollGun,008,standin,0.007797846587184663,0.00798542087454814,0.24923249253235977,0.01547502133208829,12015,1492602,36193,0.0
DollGun,009,standin,0.006055191308142265,0.006199926053333503,0.20596040487541392,0.012037493291533813,8770,1405763,33811,0.0
Donburakokko,000,standin,0.10449324396535141,0.1080129116589087,0.7622855993159298,0.18921481781128835,151550,1251523,47260,0.0
Donburakokko,001,standin,0.021226167849443252,0.021763440171068557,0.46231191411512773,0.04156996465169421,32599,1465280,37914,0.0
Donburakokko,002,standin,0.00449813113579801,0.004593333383349213,0.1783252427184466,0.008955977112096603,7347,1592145,33853,0.0
Donburakokko,003,standin,0.004929427456275172,0.0050526901325751725,0.16809708998256673,0.009810494790172026,7521,1480993,37221,0.0
