manga,page_id,image_path,gt_path,prediction_mask,image_height,image_width,threshold,inference_time_sec,iou,precision,recall,f1,tp,fp,fn
YasasiiAkuma,001,/content/data/raw/Manga109s_released_2026_05_21/images/YasasiiAkuma/001.jpg,/content/data/groundtruth/post-processed/YasasiiAkuma/001.png,/content/benchmark_unetpp/masks/YasasiiAkuma/001.png,1170,1654,0.5,0.31231432600009157,0.307527433885174,0.31623293882658154,0.9178383421070168,0.4703953827896215,27548,59565,2466
YasasiiAkuma,008,/content/data/raw/Manga109s_released_2026_05_21/images/YasasiiAkuma/008.jpg,/content/data/groundtruth/post-processed/YasasiiAkuma/008.png,/content/benchmark_unetpp/masks/YasasiiAkuma/008.png,1170,1654,0.5,0.32451711500004876,0.1601532131141324,0.1750103605470369,0.6535634140679408,0.2760897634963961,8446,39814,4477
YasasiiAkuma,007,/content/data/raw/Manga109s_released_2026_05_21/images/YasasiiAkuma/007.jpg,/content/data/groundtruth/post-processed/YasasiiAkuma/007.png,/content/benchmark_unetpp/masks/YasasiiAkuma/007.png,1170,1654,0.5,0.3202588620000597,0.3348035057958722,0.33876227710498713,0.9662731871838112,0.5016521223417775,17763,34672,620
Count3DeKimeteAgeru,000,/content/data/raw/Manga109s_released_2026_05_21/images/Count3DeKimeteAgeru/000.jpg,/content/data/groundtruth/post-processed/Count3DeKimeteAgeru/000.png,/content/benchmark_unetpp/masks/Count3DeKimeteAgeru/000.png,1170,1654,0.5,0.3249124829999346,0.7834823215476985,0.8966285958590362,0.8612789674391317,0.8785983601651804,146805,16925,23645
Count3DeKimeteAgeru,005,/content/data/raw/Manga109s_released_2026_05_21/images/Count3DeKimeteAgeru/005.jpg,/content/data/groundtruth/post-processed/Count3DeKimeteAgeru/005.png,/content/benchmark_unetpp/masks/Count3DeKimeteAgeru/005.png,1170,1654,0.5,0.32437294699991526,0.5335711333927834,0.5712156844482734,0.8900660329439083,0.6958544299309307,24532,18415,3030
Count3DeKimeteAgeru,003,/content/data/raw/Manga109s_released_2026_05_21/images/Count3DeKimeteAgeru/003.jpg,/content/data/groundtruth/post-processed/Count3DeKimeteAgeru/003.png,/content/benchmark_unetpp/masks/Count3DeKimeteAgeru/003.png,1170,1654,0.5,0.32338626299997486,0.3157547294366171,0.33656339840373134,0.8362555572206404,0.47995986238532107,16741,33000,3278
Count3DeKimeteAgeru,009,/content/data/raw/Manga109s_released_2026_05_21/images/Count3DeKimeteAgeru/009.jpg,/content/data/groundtruth/post-processed/Count3DeKimeteAgeru/009.png,/content/benchmark_unetpp/masks/Count3DeKimeteAgeru/009.png,1170,1654,0.5,0.320892783999966,0.7764671564784599,0.8177646358556864,0.9389329805996472,0.8741700105704991,42590,9491,2770
Count3DeKimeteAgeru,004,/content/data/raw/Manga109s_released_2026_05_21/images/Count3DeKimeteAgeru/004.jpg,/content/data/groundtruth/post-processed/Count3DeKimeteAgeru/004.png,/content/benchmark_unetpp/masks/Count3DeKimeteAgeru/004.png,1170,1654,0.5,0.3230760789999749,0.15429441411171776,0.1591401342863331,0.8351804489911907,0.26733979169509253,2939,15529,580
Count3DeKimeteAgeru,006,/content/data/raw/Manga109s_released_2026_05_21/images/Count3DeKimeteAgeru/006.jpg,/content/data/groundtruth/post-processed/Count3DeKimeteAgeru/006.png,/content/benchmark_unetpp/masks/Count3DeKimeteAgeru/006.png,1170,1654,0.5,0.32511236699997426,0.4210010656949362,0.4691426601287159,0.8040245543774415,0.5925415200009676,24493,27715,5970
Count3DeKimeteAgeru,002,/content/data/raw/Manga109s_released_2026_05_21/images/Count3DeKimeteAgeru/002.jpg,/content/data/groundtruth/post-processed/Count3DeKimeteAgeru/002.png,/content/benchmark_unetpp/masks/Count3DeKimeteAgeru/002.png,1170,1654,0.5,0.3231465729999172,0.874575544197019,0.9433991363355954,0.9230072805462296,0.9330918104681094,24468,1468,2041
